rho,k00,k01,k02,k03,k10,k11,k12,k13,b00,b01,b02,b03,b10,b11,b12,b13,label,run_dir
0.05,0.034714389870624335,0.16756939708779828,0.4729041868542796,0.2859302083089113,0.0889552703033496,0.2905248883180276,0.46284659364479924,0.5681888103693439,2.4837660777608614,4.743422169525502,1.51169148753178,1.8794128605775107,2.0666562384322544,1.1146771212584796,2.9706322015770623,0.8568730212198448,pineNeedle,sweep_results/rho_0.05/test_0012
0.05,0.017543955706235372,0.02169544624903705,0.4683382801017293,0.4427313867600015,0.07412955320395538,0.012704301676050286,0.2599592863619197,0.7417237959203926,2.6819378027570004,5.053660756477519,0.6850939081206081,5.200508631393966,1.8826385350875696,0.9370563930096447,3.8812298666334013,1.5544342826725162,pineNeedle,sweep_results/rho_0.05/test_0065
0.05,0.01225018924602192,0.04873897049362792,0.11662102528478385,0.40670468953346356,0.05778725087760049,0.016577511287379245,0.09913608760548458,0.11712098190305424,2.723842151688455,0.624290110466255,0.6002381948533737,0.5549898160860478,1.1607963646957253,1.1232392558489266,1.7110037442237964,1.549841652684192,pineNeedle,sweep_results/rho_0.05/test_0087
0.05,0.030508565541027616,0.38476090194585866,0.9094310626795005,0.09500398186754495,0.3276165972092416,0.04253275638291157,0.139135834656626,0.07702630937895669,2.7113698162070436,4.057240924311392,0.5155991183233073,2.182561327849382,0.9925020943328378,3.5336555786235397,0.5751359828849594,0.7922700646536791,pineNeedle,sweep_results/rho_0.05/test_0117
0.05,0.24895271742178304,0.014333075974588985,0.015845636513089758,0.014918367393837262,0.09110119965959328,0.055039340427238584,0.04409279330831343,0.3283348289284319,1.9207556869041253,1.5084851737392744,0.5373340928366752,4.337689876938863,3.9257456423974966,0.733360482794367,0.9430755125036027,4.74450360595642,pineNeedle,sweep_results/rho_0.05/test_0160
0.05,0.014632927546209209,0.22743145147628838,0.013888931703695177,0.038991618280841835,0.22802610425395145,0.16388615137239115,0.845869440947446,0.904097375274029,2.3058404121227043,4.565744331002988,1.0237103657534656,4.917839371204184,4.405756733369528,0.5215183465466018,1.4887522579352166,2.9073784923920667,pineNeedle,sweep_results/rho_0.05/test_0175
0.05,0.012724584234534545,0.12248608440625477,0.20255982776583,0.018418808267011894,0.873859808426761,0.017850168448077398,0.05561271351568453,0.01762909531879301,2.5557275545342204,4.016699399051861,2.1135357579547507,3.865624151382992,0.7398628289109822,0.7724327708699119,3.3030112334065977,0.7337869915703349,pineNeedle,sweep_results/rho_0.05/test_0190
0.05,0.025030710466121164,0.22306365726590052,0.028615155809775954,0.026058574754089688,0.02103596641075621,0.011148566955440855,0.06560160332915958,0.04139849118690506,2.6870405764773837,0.5121997620549108,3.0880102613116467,2.6481806638097227,2.9331042236739813,4.54571141664788,1.5243961679568936,1.2306679631795792,pineNeedle,sweep_results/rho_0.05/test_0285
0.05,0.41162924717543925,0.09310193311215238,0.018170418180434706,0.7293091024751724,0.37605374056206375,0.5677811111664062,0.46228679408265094,0.014140510420806605,1.3514740656875763,0.6533628006369323,2.367814942150809,2.939232528836548,1.6426606546966152,4.69157349434196,1.0899137148211793,2.3086040543071924,pineNeedle,sweep_results/rho_0.05/test_0346
0.05,0.12479167743286397,0.4671705533405686,0.16767122878121304,0.03042364902694821,0.02211127192123364,0.1198879379094891,0.017657779420179737,0.20734945690162437,2.6593814881635054,5.457840979047159,3.1811237449067167,3.637489783158961,1.0681982903404115,1.091193967949347,4.213177997336016,3.0416673619270993,pineNeedle,sweep_results/rho_0.05/test_0356
0.05,0.10886987464418935,0.08398440731497016,0.010875633015108683,0.03933671092744747,0.1278771505057201,0.35302863605561624,0.08874065102483822,0.8104853674508279,2.688262198491956,2.3521962563818857,0.6864382528023608,3.1262268852751096,2.1151683396409138,1.9682474229464113,2.641316192866825,0.6196388068242115,pineNeedle,sweep_results/rho_0.05/test_0372
0.05,0.16767895513604178,0.024118760315782983,0.10146276344885193,0.13523766422742603,0.8310228135730594,0.6047955635697048,0.13116928662197047,0.9877790390158145,2.4425229046354757,2.617584927075292,1.1557788587309004,0.9921507500367589,2.51275214099057,1.5170000363554308,4.573231350295668,1.5434121780917507,pineNeedle,sweep_results/rho_0.05/test_0376
0.05,0.046799857030926845,0.019192609288087036,0.010816967254770484,0.050939967207212576,0.0126514503796418,0.6434878194357411,0.012177775920233285,0.017308467578818227,2.2474098999428525,0.85460299145107,0.7046740724771541,0.990059852877343,3.887091622516029,1.9490421786644607,2.861963977674138,0.6147734441959332,pineNeedle,sweep_results/rho_0.05/test_0423
0.05,0.02335408459062503,0.03862483677585907,0.32448442703744773,0.18109037959996602,0.10524182915717517,0.10071192540048464,0.857490049267951,0.01292619405962394,2.7044708290981676,2.7152718952711914,3.7764900363005878,3.5694587522923724,2.4002131777186917,2.9139690438216372,1.0685141553794464,4.111470336370376,pineNeedle,sweep_results/rho_0.05/test_0439
0.05,0.019112124214075127,0.5897198884136102,0.2617783404948478,0.10301494313095205,0.047772955701259584,0.07080369126065336,0.0557251422556464,0.7195436192721434,2.679310100681497,1.5163666766771293,0.9998463607676463,2.686242041055819,0.6343752799345063,4.694179908822746,1.778813406993245,0.8811535128158188,pineNeedle,sweep_results/rho_0.05/test_0463
0.05,0.04355277251592695,0.022681249742451937,0.140396110359048,0.016898361834584038,0.5513434281455246,0.47482822059470586,0.0112695148240985,0.03831357114455146,2.658589949074599,3.0356338501229043,0.6000669124191488,0.8622191382041683,1.6634095227694798,0.5783270860839207,3.4705658105487704,3.8405667916270936,pineNeedle,sweep_results/rho_0.05/test_0558
0.05,0.05414853438327119,0.19541919896966722,0.021618897303901402,0.01887134346823679,0.016179144701231336,0.09816227388679342,0.1647487981771496,0.055883548844745175,2.629005777502168,1.4241475898611393,3.6783611319555787,1.711469814195098,0.8903345053133329,2.5948810885057974,4.048475606986318,4.060534405529702,pineNeedle,sweep_results/rho_0.05/test_0653
0.05,0.16760711684268906,0.146738662090794,0.10556983485482271,0.18334742149214017,0.08168091128836968,0.2205223909591788,0.07120385308420421,0.10904392096642346,2.4422170473894598,2.309847886328616,5.128764074870793,3.581581156298627,0.678984055039187,0.9114794675638523,2.6294378229798756,2.6877102009542835,pineNeedle,sweep_results/rho_0.05/test_0672
0.05,0.17362855000212948,0.26813231941984467,0.15895894155201526,0.029643318303634328,0.7247281209263519,0.016186599393034306,0.04226339305691598,0.04885236611866946,2.417690375045421,0.9021340836817369,1.9564487513240314,1.2585621269936114,2.8613230886561802,3.020046105356016,1.6203581913292442,0.7948714471564482,pineNeedle,sweep_results/rho_0.05/test_0695
0.05,0.5158297580829444,0.023583773057311637,0.014203934004314828,0.010060570350449253,0.01034904866899159,0.252000036532718,0.20985301184124053,0.09100790983532275,1.0685765473478719,1.794710627454795,2.6648280082870914,1.1083808691685133,0.8074702745420743,2.1410693177161906,1.9463989323773827,1.4213481136329782,pineNeedle,sweep_results/rho_0.05/test_0015
0.05,0.06112964099695884,0.13516997759925267,0.21488191935524825,0.0327806147991292,0.20669632535364058,0.011522539697587878,0.4627182294194121,0.20996453073542357,1.8794416670391751,1.8298547441987392,2.527660536784214,1.090733889711917,1.7815926892812415,0.7005005018852382,1.5451706656147595,3.748846321173689,pineNeedle,sweep_results/rho_0.05/test_0039
0.05,0.3527254179105954,0.5748210587445867,0.05642539943576296,0.028511389350250625,0.27889380435124267,0.12305649608584296,0.038520977731721015,0.04176515317977525,1.590727815931098,3.930104820802545,2.893641782049111,1.1131341217811133,1.5724576023847407,2.160608427145854,0.8999807470455474,0.9656547672186381,pineNeedle,sweep_results/rho_0.05/test_0044
0.05,0.46627404448932686,0.0483553459091707,0.4959437476315535,0.1486370951266328,0.0425420089984205,0.36388719762879773,0.020273391038323603,0.014471637313030512,1.4322102928726457,3.0678477510150644,0.7748460962832089,2.687740783480399,1.292167159169451,5.43688319233977,1.727823958532868,1.4362207210705098,pineNeedle,sweep_results/rho_0.05/test_0060
0.05,0.017543955706235372,0.02169544624903705,0.4683382801017293,0.4427313867600015,0.07412955320395538,0.012704301676050286,0.2599592863619197,0.7417237959203926,2.6819378027570004,5.053660756477519,0.6850939081206081,5.200508631393966,1.8826385350875696,0.9370563930096447,3.8812298666334013,1.5544342826725162,pineNeedle,sweep_results/rho_0.05/test_0065
0.05,0.047605191746686704,0.022273211127718816,0.016365297967719402,0.03740216491758389,0.07042080874551879,0.2845679456885745,0.0576473839095084,0.02270715319777025,2.1434822984351043,3.4005239535067178,0.832694592568641,2.1928409152443815,4.489375215133509,5.10466040254731,2.6498974092170875,0.5126986260645736,pineNeedle,sweep_results/rho_0.05/test_0074
0.05,0.33896858560994575,0.44275140183080447,0.7620958253611408,0.010805889080069695,0.2138517305730789,0.1516867581636987,0.14180783584974793,0.23491843787881128,1.7756104145077813,0.7388713749952435,3.968834204856217,2.814317167156563,1.1087196247907842,2.199286824742535,4.152797891462378,0.9679237168739684,pineNeedle,sweep_results/rho_0.05/test_0075
0.05,0.03675655208825938,0.5194967932725404,0.0239407782411543,0.12584621198131962,0.9173376963463806,0.5565557479289505,0.06915653294991066,0.011021576303615615,1.8771937544109285,4.187690705504335,0.5583317896779759,4.127104594123618,0.7487658879781359,0.8604769955338089,2.0542807475203912,1.2057134640089964,pineNeedle,sweep_results/rho_0.05/test_0137
0.05,0.06997968274413953,0.26818106250655127,0.9718836779383142,0.044631251304217655,0.010168620530932707,0.09805229127779627,0.4750300728921493,0.28407492691550973,0.6796028860497928,2.3926017512155884,1.6179668347214817,4.018079641082827,1.2694194750675234,0.8531379273170488,2.0910781867421706,1.6562692993136325,pineNeedle,sweep_results/rho_0.05/test_0172
0.05,0.016803532089717188,0.04061970976469511,0.8119349471089432,0.011972253846555567,0.3447733476373501,0.01259878791490819,0.08173646105218887,0.33350885995486207,0.7144902420737222,0.8125386665254154,4.858264903916655,0.5349828580901893,0.7041222487766657,0.532708549418697,1.094542424188686,0.7881171072111455,pineNeedle,sweep_results/rho_0.05/test_0173
0.05,0.014632927546209209,0.22743145147628838,0.013888931703695177,0.038991618280841835,0.22802610425395145,0.16388615137239115,0.845869440947446,0.904097375274029,2.3058404121227043,4.565744331002988,1.0237103657534656,4.917839371204184,4.405756733369528,0.5215183465466018,1.4887522579352166,2.9073784923920667,pineNeedle,sweep_results/rho_0.05/test_0175
0.05,0.8266480776302634,0.28766066872573093,0.1675826065737523,0.04110422901518203,0.027245404286871968,0.08911808497622897,0.5528443437753846,0.3057077649230246,0.5856858335084085,4.336934163213116,4.819462441852732,0.757060649855866,0.8442678018435112,1.7097336152460667,3.102909168238606,3.579802766078444,pineNeedle,sweep_results/rho_0.05/test_0178
0.05,0.2514054323101046,0.03389930850606842,0.44535925292361606,0.17551640615750327,0.14626832010026514,0.0987059157424955,0.2880958358164863,0.4974221894556869,2.322839110826353,1.542662685518604,2.858001316055817,1.3702318958909263,0.5922060097611193,1.0715257479088605,2.4167880993336563,3.5685372667232484,pineNeedle,sweep_results/rho_0.05/test_0179
0.05,0.012724584234534545,0.12248608440625477,0.20255982776583,0.018418808267011894,0.873859808426761,0.017850168448077398,0.05561271351568453,0.01762909531879301,2.5557275545342204,4.016699399051861,2.1135357579547507,3.865624151382992,0.7398628289109822,0.7724327708699119,3.3030112334065977,0.7337869915703349,pineNeedle,sweep_results/rho_0.05/test_0190
0.05,0.010577469608333192,0.14246412357888769,0.010247860397058807,0.01874666214188363,0.19994369743241325,0.01667860017653514,0.5164942401054683,0.047369168694379814,1.940718108533766,4.711811136821131,0.7152033908125868,3.1010737708364475,2.063440412391774,1.534629463795471,1.0916497142659154,0.5581405635285296,pineNeedle,sweep_results/rho_0.05/test_0202
0.05,0.7346294087868002,0.03343252250020906,0.020369582297224933,0.022611499407930363,0.09910190391625352,0.5524739976027558,0.017536212575415353,0.756283396276999,1.1001382652845513,1.8323281316247841,2.6968298275339104,1.5856264811487828,1.4339581454825934,1.0680383813568903,0.9099296553656352,1.115441672967468,pineNeedle,sweep_results/rho_0.05/test_0228
0.05,0.022413604630424248,0.1341864338774027,0.4759194844160167,0.01211704176653552,0.07078018481649778,0.08302912954003953,0.45156789316512486,0.02572771855423669,1.9761735789560408,3.8454717676230556,0.5035595202977402,2.1401601371977153,4.66334756412877,3.0734307962718,4.233582739581554,0.9632369312056044,pineNeedle,sweep_results/rho_0.05/test_0248
0.05,0.11210023465283228,0.2145414295847144,0.07791408018234751,0.9759268558331692,0.25221658774152284,0.5944073802602513,0.09864748242319127,0.024290665542105374,0.6564648775961066,1.9418616966981619,5.3514252876849815,1.9045215038210257,1.1539991828204166,0.7639671972287821,0.8972968703494913,3.4965988400655372,pineNeedle,sweep_results/rho_0.05/test_0249
0.05,0.018013843469295927,0.30893839624377734,0.13024681350251768,0.09035095716951583,0.20969061599554586,0.9063595217761236,0.0757753279730607,0.017110507602476142,0.6983714332848708,1.6156457326128344,0.6250585766148831,0.7416877301622015,2.436002502630846,4.6141582601853095,1.005071874420202,0.5167704506316005,pineNeedle,sweep_results/rho_0.05/test_0252
0.05,0.1617297508073309,0.015596819601741356,0.062239535920532794,0.07540809132279445,0.032099975752926474,0.6463735947239588,0.9048508058311782,0.03474775868231015,1.807075056927281,3.6427692500320257,0.847548912832697,4.4436451742687755,0.6477726731259636,1.254430007871499,4.679498924298711,3.8576071578982876,pineNeedle,sweep_results/rho_0.05/test_0269
0.05,0.19132043767522797,0.04852019700705018,0.9173021927940435,0.015143500614322361,0.6016402251005957,0.08013873641191416,0.011602970147339187,0.03169841768043161,2.060503636717952,3.0429763720193046,0.802084294713295,3.9140415344620805,0.8786762690164743,2.99020579386746,0.9861818415153957,1.081605266989049,pineNeedle,sweep_results/rho_0.05/test_0304
0.05,0.011862090695646196,0.035670216202209275,0.028821162933847264,0.8309727378341154,0.172107190589357,0.11374972466836406,0.47511766282436435,0.9589020911511446,1.9942578204405719,3.8524105918765863,1.3926179743511593,2.463707750230368,0.8167582153472354,1.111688562757793,0.5154762002712541,1.3396678676679548,pineNeedle,sweep_results/rho_0.05/test_0309
0.05,0.02882208181522878,0.028788898006246597,0.10796919124704384,0.08989562246330098,0.04533564074180129,0.10023331308895571,0.09491793956611586,0.1365254562815283,1.8199518469533231,4.8023475647673886,4.475219393426873,1.0709733927007756,4.659058766667786,1.2886545753113032,3.783541908514594,3.19207099740002,pineNeedle,sweep_results/rho_0.05/test_0311
0.05,0.41162924717543925,0.09310193311215238,0.018170418180434706,0.7293091024751724,0.37605374056206375,0.5677811111664062,0.46228679408265094,0.014140510420806605,1.3514740656875763,0.6533628006369323,2.367814942150809,2.939232528836548,1.6426606546966152,4.69157349434196,1.0899137148211793,2.3086040543071924,pineNeedle,sweep_results/rho_0.05/test_0346
0.05,0.4481889916630913,0.013163674646838755,0.9076698059745133,0.10628106552957986,0.014915546191669593,0.08658752289958078,0.6036419729132143,0.11008106856699162,1.3373399551698193,3.2910480666746196,0.577885563930524,1.6899831507024443,0.6308642897968447,4.5572055970847005,2.190627664113643,0.8991672062301601,pineNeedle,sweep_results/rho_0.05/test_0350
0.05,0.2719148210389146,0.10412473968436446,0.30450180140129357,0.4126542873290932,0.23075525802826552,0.32406142777320657,0.06428735700689628,0.13379589926575947,1.3473862263957725,2.5774245917456895,2.1539503239614075,2.1257416423087934,0.5954333774264058,1.9680548827823994,0.6462429269486842,3.512885186573654,pineNeedle,sweep_results/rho_0.05/test_0352
0.05,0.12479167743286397,0.4671705533405686,0.16767122878121304,0.03042364902694821,0.02211127192123364,0.1198879379094891,0.017657779420179737,0.20734945690162437,2.6593814881635054,5.457840979047159,3.1811237449067167,3.637489783158961,1.0681982903404115,1.091193967949347,4.213177997336016,3.0416673619270993,pineNeedle,sweep_results/rho_0.05/test_0356
0.05,0.2015045069870838,0.990383319442269,0.010479372421340238,0.45331811616139456,0.013798269718570469,0.0221079620506198,0.055083229217877484,0.2577469556125588,1.62887023594543,1.8017820732064331,1.111330631941797,3.1655574824596853,4.866473710163031,1.4080239883894634,0.7872025014801195,0.7868230364970028,pineNeedle,sweep_results/rho_0.05/test_0366
0.05,0.16767895513604178,0.024118760315782983,0.10146276344885193,0.13523766422742603,0.8310228135730594,0.6047955635697048,0.13116928662197047,0.9877790390158145,2.4425229046354757,2.617584927075292,1.1557788587309004,0.9921507500367589,2.51275214099057,1.5170000363554308,4.573231350295668,1.5434121780917507,pineNeedle,sweep_results/rho_0.05/test_0376
0.05,0.011044511586740418,0.22901866617543334,0.011166194019806503,0.03775007194863552,0.6196400617509742,0.17535698988951223,0.32454183148289867,0.5431159177535606,2.1653751095599976,4.551540978476564,1.125158386649225,3.434059897742645,1.6357377313826957,0.5833533435869311,0.7110761302135076,3.5450999909072642,pineNeedle,sweep_results/rho_0.05/test_0378
0.05,0.014685146370347246,0.01586710438203161,0.12007399517019278,0.09147383129635546,0.05963358251949966,0.10260643740954074,0.21092323340218277,0.05048737318482949,0.7006697406591925,1.469976990438489,1.1196825466533853,1.7724389544640324,0.6057091780065227,4.665249613996187,2.4534753893966714,0.6677003070411438,pineNeedle,sweep_results/rho_0.05/test_0390
0.05,0.12553423081791662,0.15337875943091503,0.3985409256561163,0.9896846584459311,0.07201341963045153,0.20770765108887082,0.29849525293276347,0.014557119241736784,1.5733699705360802,2.2467487078972983,4.806960530236604,4.428716858172763,4.552414746081366,1.5880089083911255,2.3997181030800787,3.644170095691815,pineNeedle,sweep_results/rho_0.05/test_0391
0.05,0.13489486322091965,0.012409909634608621,0.5107454052409339,0.5422391339067628,0.036314399797107134,0.1748326661057989,0.08852402980959531,0.1090126110242425,1.604823287037981,5.401940220071331,1.9633028731997142,0.5757716153247407,1.952289103345055,2.0900292845124433,1.7927695942003978,0.5459332039595587,pineNeedle,sweep_results/rho_0.05/test_0394
0.05,0.07918022895011764,0.04309834958347454,0.01851572097243769,0.4355760935465818,0.15292951350465592,0.7423906809710107,0.02719867723134658,0.3145221481883514,1.6578436600292927,4.238138017663604,2.519270200019607,2.418621713777138,1.3078646619684622,1.240814200736669,1.1667048779986442,0.5800032739645813,pineNeedle,sweep_results/rho_0.05/test_0399
0.05,0.0350788059125086,0.10773886661648233,0.17428436808228137,0.010787638491099835,0.1301847577294841,0.36042508646799604,0.03965602154472757,0.07681061900854907,1.6105260968173707,3.1520269976406925,0.7722516375577725,3.1041339869804814,0.5299556754208141,1.7773693323141737,1.0702193527571342,4.1825429607969875,pineNeedle,sweep_results/rho_0.05/test_0405
0.05,0.10937060459191872,0.2764393116678238,0.013297163901640244,0.07450888410475424,0.020210100902338903,0.4520536689804665,0.2201289678838369,0.09429094183463942,1.7205261989793075,1.0400998343857812,0.745818993270061,2.3673532347505852,3.449652609231162,1.3060347132384076,0.9170388580632385,0.7194079956252968,pineNeedle,sweep_results/rho_0.05/test_0437
0.05,0.4611141355919402,0.37131437237636117,0.037836416022657665,0.060330898334385825,0.05335356820441147,0.016656995310512776,0.03377102464122571,0.1838406052929225,1.1295669762028289,1.5155076746360612,0.7278901079153426,5.218441000607949,1.543652491102983,3.1178102085800337,1.1830243528530282,0.5993013943546115,pineNeedle,sweep_results/rho_0.05/test_0462
0.05,0.3214162476220222,0.1128008225952197,0.11256848017254797,0.09248918664441706,0.14587531080382576,0.2305688065276401,0.010514793520927348,0.12440540383000932,1.4527274502323548,2.5382299947155875,2.698774106310484,0.5316800164719381,2.3918164187548423,0.8759727507665113,0.58328526963282,1.0172331958412566,pineNeedle,sweep_results/rho_0.05/test_0471
0.05,0.227555092709005,0.034014713563125756,0.04987830885791661,0.03419947178354033,0.13579571635416857,0.07426738941203642,0.36699701922430333,0.3707879678269891,2.2599662524068194,3.2214248085736874,0.6321370954224137,2.8405411231687543,4.90057386814147,0.5860885524655233,5.401058072319478,2.9772182805961434,pineNeedle,sweep_results/rho_0.05/test_0498
0.05,0.41527488617229097,0.5676132433478219,0.06997583921557693,0.41738327358603367,0.6699281059969583,0.2944413766571095,0.37880170837269916,0.13865443631856833,1.4134747411605848,2.7205963665095605,5.290069435205182,3.1945342613967362,1.45217614015638,0.7705159578988378,0.583221997381129,1.3483966096713895,pineNeedle,sweep_results/rho_0.05/test_0507
0.05,0.04355277251592695,0.022681249742451937,0.140396110359048,0.016898361834584038,0.5513434281455246,0.47482822059470586,0.0112695148240985,0.03831357114455146,2.658589949074599,3.0356338501229043,0.6000669124191488,0.8622191382041683,1.6634095227694798,0.5783270860839207,3.4705658105487704,3.8405667916270936,pineNeedle,sweep_results/rho_0.05/test_0558
